calDate,connectionStream,adCost,campaignId,clicksCounter,impressionsCounter
2022-03-14 00:00:00.000000 UTC,4580834090943463925.google_ads,5.23,1886376307672751723,32.0,100.0
2022-03-07 00:00:00.000000 UTC,4580834090943463925.google_ads,4.95,1886376307672751723,32.0,73.0
2022-03-29 00:00:00.000000 UTC,4580834090943463925.google_ads,5.74,1886376307672751723,46.0,128.0
2022-03-10 00:00:00.000000 UTC,4580834090943463925.google_ads,5.38,1886376307672751723,40.0,80.0
2022-03-16 00:00:00.000000 UTC,4580834090943463925.google_ads,7.41,1886376307672751723,42.0,128.0
2022-03-21 00:00:00.000000 UTC,4580834090943463925.google_ads,4.69,1886376307672751723,40.0,126.0
2022-03-28 00:00:00.000000 UTC,4580834090943463925.google_ads,5.85,1886376307672751723,42.0,99.0
2022-03-31 00:00:00.000000 UTC,4580834090943463925.google_ads,3.7,1886376307672751723,32.0,70.0
2023-02-01 00:00:00.000000 UTC,4580834090943463925.google_ads,8.65,1886376307672751723,38.0,93.0
2023-02-02 00:00:00.000000 UTC,4580834090943463925.google_ads,10.36,1886376307672751723,35.0,112.0
2023-01-01 00:00:00.000000 UTC,4580834090943463925.google_ads,8.1,1886376307672751723,21.0,46.0
2023-01-02 00:00:00.000000 UTC,4580834090943463925.google_ads,8.16,1886376307672751723,31.0,86.0
2023-01-05 00:00:00.000000 UTC,4580834090943463925.google_ads,4.77,1886376307672751723,25.0,116.0
2023-01-06 00:00:00.000000 UTC,4580834090943463925.google_ads,7.62,1886376307672751723,28.0,78.0
2023-01-07 00:00:00.000000 UTC,4580834090943463925.google_ads,6.78,1886376307672751723,28.0,85.0
2023-01-09 00:00:00.000000 UTC,4580834090943463925.google_ads,8.9,1886376307672751723,32.0,84.0
2023-01-12 00:00:00.000000 UTC,4580834090943463925.google_ads,6.07,1886376307672751723,26.0,87.0
2023-01-25 00:00:00.000000 UTC,4580834090943463925.google_ads,4.84,1886376307672751723,28.0,100.0
2023-01-28 00:00:00.000000 UTC,4580834090943463925.google_ads,3.46,1886376307672751723,15.0,74.0
2023-01-03 00:00:00.000000 UTC,4580834090943463925.google_ads,7.13,1886376307672751723,21.0,70.0
2023-01-04 00:00:00.000000 UTC,4580834090943463925.google_ads,7.12,1886376307672751723,37.0,125.0
2023-01-11 00:00:00.000000 UTC,4580834090943463925.google_ads,7.37,1886376307672751723,35.0,130.0
2023-01-17 00:00:00.000000 UTC,4580834090943463925.google_ads,5.1,1886376307672751723,27.0,98.0
2023-01-16 00:00:00.000000 UTC,4580834090943463925.google_ads,5.43,1886376307672751723,37.0,85.0
2023-01-23 00:00:00.000000 UTC,4580834090943463925.google_ads,6.88,1886376307672751723,24.0,69.0
2023-01-29 00:00:00.000000 UTC,4580834090943463925.google_ads,9.4,1886376307672751723,26.0,62.0
2023-01-15 00:00:00.000000 UTC,4580834090943463925.google_ads,7.34,1886376307672751723,31.0,76.0
2023-01-14 00:00:00.000000 UTC,4580834090943463925.google_ads,3.71,1886376307672751723,17.0,53.0
2023-01-21 00:00:00.000000 UTC,4580834090943463925.google_ads,5.11,1886376307672751723,21.0,73.0
2023-01-18 00:00:00.000000 UTC,4580834090943463925.google_ads,9.05,1886376307672751723,37.0,126.0
2023-01-22 00:00:00.000000 UTC,4580834090943463925.google_ads,8.46,1886376307672751723,22.0,66.0
2023-01-13 00:00:00.000000 UTC,4580834090943463925.google_ads,8.94,1886376307672751723,36.0,80.0
2023-01-30 00:00:00.000000 UTC,4580834090943463925.google_ads,7.38,1886376307672751723,37.0,130.0
2023-01-19 00:00:00.000000 UTC,4580834090943463925.google_ads,9.96,1886376307672751723,39.0,107.0
2023-01-26 00:00:00.000000 UTC,4580834090943463925.google_ads,5.12,1886376307672751723,29.0,90.0
2023-01-31 00:00:00.000000 UTC,4580834090943463925.google_ads,5.72,1886376307672751723,38.0,104.0
2023-01-24 00:00:00.000000 UTC,4580834090943463925.google_ads,6.63,1886376307672751723,37.0,102.0
2023-01-08 00:00:00.000000 UTC,4580834090943463925.google_ads,5.92,1886376307672751723,26.0,89.0
2023-01-10 00:00:00.000000 UTC,4580834090943463925.google_ads,6.8,1886376307672751723,37.0,125.0
2023-01-27 00:00:00.000000 UTC,4580834090943463925.google_ads,5.2,1886376307672751723,21.0,70.0
2023-01-20 00:00:00.000000 UTC,4580834090943463925.google_ads,9.21,1886376307672751723,38.0,88.0
2023-02-03 00:00:00.000000 UTC,4580834090943463925.google_ads,8.12,1886376307672751723,19.0,55.0
2023-02-05 00:00:00.000000 UTC,4580834090943463925.google_ads,4.63,1886376307672751723,22.0,86.0
2023-02-04 00:00:00.000000 UTC,4580834090943463925.google_ads,4.45,1886376307672751723,19.0,52.0
2023-02-06 00:00:00.000000 UTC,4580834090943463925.google_ads,7.79,1886376307672751723,20.0,93.0
2023-02-07 00:00:00.000000 UTC,4580834090943463925.google_ads,9.69,1886376307672751723,26.0,128.0
2023-02-08 00:00:00.000000 UTC,4580834090943463925.google_ads,10.55,1886376307672751723,17.0,84.0
2023-02-09 00:00:00.000000 UTC,4580834090943463925.google_ads,10.68,1886376307672751723,29.0,122.0
2023-02-10 00:00:00.000000 UTC,4580834090943463925.google_ads,8.06,1886376307672751723,22.0,92.0
2021-10-24 00:00:00.000000 UTC,4580834090943463925.google_ads,8.97,1886376307672751723,17.0,167.0
2021-10-18 00:00:00.000000 UTC,4580834090943463925.google_ads,4.06,1886376307672751723,9.0,84.0
2021-10-17 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,-8587735845139407532,0.0,0.0
2021-10-26 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,-8587735845139407532,0.0,0.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,5.91,-8587735845139407532,14.0,354.0
2021-10-08 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,-8587735845139407532,0.0,0.0
2021-10-25 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,-8587735845139407532,0.0,0.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,8.68,6045900822755737895,15.0,160.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,6045900822755737895,0.0,0.0
2021-10-19 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,6045900822755737895,0.0,0.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,10.77,-247250641193721630,26.0,272.0
2021-10-07 00:00:00.000000 UTC,4580834090943463925.google_ads,11.4,-247250641193721630,18.0,235.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,6.01,-247250641193721630,11.0,129.0
2021-10-13 00:00:00.000000 UTC,4580834090943463925.google_ads,12.44,-247250641193721630,24.0,327.0
2021-10-09 00:00:00.000000 UTC,4580834090943463925.google_ads,7.93,-247250641193721630,19.0,293.0
2021-10-12 00:00:00.000000 UTC,4580834090943463925.google_ads,13.06,-247250641193721630,25.0,340.0
2021-10-04 00:00:00.000000 UTC,4580834090943463925.google_ads,19.84,-247250641193721630,37.0,380.0
2021-10-02 00:00:00.000000 UTC,4580834090943463925.google_ads,3.04,-247250641193721630,10.0,244.0
2021-10-14 00:00:00.000000 UTC,4580834090943463925.google_ads,2.79,3569910158619531168,7.0,1571.0
